Java,Clean_Java
public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);},public ListSpeechSynthesisTasksResult listSpeechSynthesisTasksListSpeechSynthesisTasksRequest request request  beforeClientExecutionrequestreturn executeListSpeechSynthesisTasksrequest
public UpdateJourneyStateResult updateJourneyState(UpdateJourneyStateRequest request) {request = beforeClientExecution(request);return executeUpdateJourneyState(request);},public UpdateJourneyStateResult updateJourneyStateUpdateJourneyStateRequest request request  beforeClientExecutionrequestreturn executeUpdateJourneyStaterequest
public void removePresentationFormat() {remove1stProperty(PropertyIDMap.PID_PRESFORMAT);},public void removePresentationFormat remove1stPropertyPropertyIDMapPIDPRESFORMAT
"public CellRangeAddressList(int firstRow, int lastRow, int firstCol, int lastCol) {this();addCellRangeAddress(firstRow, firstCol, lastRow, lastCol);}",public CellRangeAddressListint firstRow int lastRow int firstCol int lastCol thisaddCellRangeAddressfirstRow firstCol lastRow lastCol
"public void delete(int key) {int i = binarySearch(mKeys, 0, mSize, key);if (i >= 0) {if (mValues[i] != DELETED) {mValues[i] = DELETED;mGarbage = true;}}}",public void deleteint key int i  binarySearchmKeys 0 mSize keyif i  0 if mValuesi  DELETED mValuesi  DELETEDmGarbage  true
public CreateBranchCommand setStartPoint(RevCommit startPoint) {checkCallable();this.startCommit = startPoint;this.startPoint = null;return this;},public CreateBranchCommand setStartPointRevCommit startPoint checkCallablethisstartCommit  startPointthisstartPoint  nullreturn this
public int centerX() {return x + w / 2;},public int centerX return x  w  2
public ListPresetsResult listPresets() {return listPresets(new ListPresetsRequest());},public ListPresetsResult listPresets return listPresetsnew ListPresetsRequest
public DeleteFolderContentsResult deleteFolderContents(DeleteFolderContentsRequest request) {request = beforeClientExecution(request);return executeDeleteFolderContents(request);},public DeleteFolderContentsResult deleteFolderContentsDeleteFolderContentsRequest request request  beforeClientExecutionrequestreturn executeDeleteFolderContentsrequest
public GetConsoleOutputResult getConsoleOutput(GetConsoleOutputRequest request) {request = beforeClientExecution(request);return executeGetConsoleOutput(request);},public GetConsoleOutputResult getConsoleOutputGetConsoleOutputRequest request request  beforeClientExecutionrequestreturn executeGetConsoleOutputrequest
public PutMailboxPermissionsResult putMailboxPermissions(PutMailboxPermissionsRequest request) {request = beforeClientExecution(request);return executePutMailboxPermissions(request);},public PutMailboxPermissionsResult putMailboxPermissionsPutMailboxPermissionsRequest request request  beforeClientExecutionrequestreturn executePutMailboxPermissionsrequest
public Cluster disableSnapshotCopy(DisableSnapshotCopyRequest request) {request = beforeClientExecution(request);return executeDisableSnapshotCopy(request);},public Cluster disableSnapshotCopyDisableSnapshotCopyRequest request request  beforeClientExecutionrequestreturn executeDisableSnapshotCopyrequest
"public static String stripExtension(String filename) {int idx = filename.indexOf('.');if (idx != -1) {filename = filename.substring(0, idx);}return filename;}",public static String stripExtensionString filename int idx  filenameindexOfif idx  1 filename  filenamesubstring0 idxreturn filename
public ByteBuffer putInt(int value) {throw new ReadOnlyBufferException();},public ByteBuffer putIntint value throw new ReadOnlyBufferException
public int lastIndexOf(final int o){int rval = _limit - 1;for (; rval >= 0; rval--){if (o == _array[ rval ]){break;}}return rval;},public int lastIndexOffinal int oint rval  limit  1for  rval  0 rvalif o  array rval breakreturn rval
"public void setCountsByTime(int[] counts, long msecStep) {countsByTime = counts;countsByTimeStepMSec = msecStep;}",public void setCountsByTimeint counts long msecStep countsByTime  countscountsByTimeStepMSec  msecStep
public FeatHdrRecord(RecordInputStream in) {futureHeader = new FtrHeader(in);isf_sharedFeatureType = in.readShort();reserved = in.readByte();cbHdrData = in.readInt();rgbHdrData = in.readRemainder();},public FeatHdrRecordRecordInputStream in futureHeader  new FtrHeaderinisfsharedFeatureType  inreadShortreserved  inreadBytecbHdrData  inreadIntrgbHdrData  inreadRemainder
public CopyOnWriteArrayList() {elements = EmptyArray.OBJECT;},public CopyOnWriteArrayList elements  EmptyArrayOBJECT
public WriteRequest(DeleteRequest deleteRequest) {setDeleteRequest(deleteRequest);},public WriteRequestDeleteRequest deleteRequest setDeleteRequestdeleteRequest
public void readFully(byte[] buf){_in.readFully(buf);},public void readFullybyte bufinreadFullybuf
"public static Cell getCell(Row row, int columnIndex) {Cell cell = row.getCell(columnIndex);if (cell == null) {cell = row.createCell(columnIndex);}return cell;}",public static Cell getCellRow row int columnIndex Cell cell  rowgetCellcolumnIndexif cell  null cell  rowcreateCellcolumnIndexreturn cell
public void setPackConfig(PackConfig pc) {this.packConfig = pc;},public void setPackConfigPackConfig pc thispackConfig  pc
"public String getSignerName() {return ""HMAC-SHA1"";}",public String getSignerName return HMACSHA1
public IntervalSet or(IntSet a) {IntervalSet o = new IntervalSet();o.addAll(this);o.addAll(a);return o;},public IntervalSet orIntSet a IntervalSet o  new IntervalSetoaddAllthisoaddAllareturn o
"public String toString() {return getClass().getName() + "" ["" +_value +""]"";}",public String toString return getClassgetName    value 
